officer_id,css,award_count
1,1.7993,88
2,6.7814,100
6,1.507,2
7,2.9485,25
8,0.5129,1
9,0.6247,0
11,1.6297,2
13,2.8779,8
14,1.2065,7
15,1.0667,32
16,15.2223,48
17,5.8316,6
18,1.4782,43
19,0.755,14
21,2.4225,0
25,1.3714,5
27,0.9164,0
29,0.8294,22
33,3.6575,2
34,6.1552,19
35,0.4372,9
38,4.5348,45
39,5.6589,30
41,3.2107,25
42,5.6047,177
44,8.6581,26
45,0.0877,2
46,2.234,2
47,2.4042,32
48,2.2254,23
49,4.4657,112
50,0.064,13
51,3.5778,48
52,7.1977,63
53,0.11,8
54,4.0196,15
56,10.3933,53
58,9.7756,15
59,3.7696,0
60,15.0506,139
61,3.8629,50
62,1.6642,20
64,3.105,60
65,15.3788,98
66,0.9713,6
67,5.2396,49
69,5.1378,22
71,0.1853,1
72,4.8183,11
74,0.84,7
75,11.0836,43
77,2.0835,38
80,8.7464,19
81,5.78,52
82,0.2253,3
83,2.9704,16
87,1.1262,16
89,1.457,3
92,9.0708,35
93,3.0157,14
94,7.1591,71
96,1.7769,3
100,0.9195,0
103,0.4667,2
104,2.234,2
105,2.8623,7
107,2.8471,11
108,1.7264,17
109,0.4176,6
111,5.1474,0
112,1.2423,14
113,1.9619,10
114,5.0368,18
115,7.8673,40
116,1.7464,39
117,3.3667,3
118,4.9748,20
119,5.5425,41
122,2.3415,10
123,0.1518,0
124,3.9533,16
127,9.8283,19
128,7.0615,48
129,2.8035,92
130,3.4032,13
132,1.6133,13
134,2.435,15
135,6.6535,100
137,1.3827,12
138,3.2857,19
140,2.6279,11
142,6.36,57
143,4.5888,15
144,1.8288,25
147,3.1361,12
148,2.3836,15
149,3.8257,23
151,0.5837,5
152,8.3297,27
156,10.7911,41
157,5.5617,23
160,3.4565,9
161,3.6676,44
164,3.0288,62
168,2.808,30
169,3.6029,43
170,6.4253,26
171,0.8367,45
172,0.0963,14
174,0.2844,0
176,0.1925,10
178,8.8356,4
179,0.21,0
180,0.2622,2
181,3.1633,44
182,6.0419,31
183,7.57,52
184,0.6818,2
185,0.5446,6
186,1.062,14
187,3.3714,23
188,1.5163,33
190,4.539,49
191,10.4431,22
192,7.6632,44
193,3.2013,8
195,1.319,6
196,2.8809,6
197,1.8605,9
198,4.6611,6
199,4.386,5
200,3.0418,19
201,0.5824,14
202,1.976,40
203,5.2477,22
204,2.2337,30
205,0.2374,4
208,4.8248,24
209,6.5207,57
210,4.355,54
211,5.2725,30
213,2.7917,12
215,0.2739,0
216,6.0111,40
218,2.2602,2
222,2.6387,133
223,2.7323,1
